song,artist,reentry_count,momentum_score,retention_days,fandom_score
Please Don't Change (feat. DJ Snake),Jung Kook,10,4.5,9.11111111111111,8.083333333333332
Klaxon,(G)I-DLE,2,5.0,19.0,8.0
Better Things,aespa,2,1.0,23.0,8.0
Talk Saxy,RIIZE,6,2.1666666666666665,16.2,7.91
All Or Nothing,J Money & KingLee,1,25.0,,7.9
Love Letter,Lim Young Woong,9,3.0,11.25,7.875
アイドル,YOASOBI,3,5.333333333333333,16.5,7.75
Melt Down,DAY6,4,8.75,11.666666666666666,7.725
Holssi,IU,2,12.0,11.0,7.699999999999999
CROOKED,G-DRAGON,2,4.0,18.0,7.3999999999999995
Please Please Please,Sabrina Carpenter,5,7.0,10.75,7.324999999999999
FLOWER,JISOO,3,5.333333333333333,15.0,7.3
Kill Bill,SZA,3,3.6666666666666665,16.5,7.25
"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",GroovyRoom & HUH YUNJIN,2,10.0,11.0,7.1
Bling-Bang-Bang-Born,Creepy Nuts,4,4.75,13.333333333333334,7.025
Memories,RIIZE,4,9.0,9.0,7.0
My You,Jung Kook,6,2.1666666666666665,13.0,6.95
The Planet,BTS,3,7.0,12.0,6.9
Promise,Jimin,9,5.111111111111111,5.625,6.820833333333333
Cupid - Twin Ver.,FIFTY FIFTY,3,3.6666666666666665,15.0,6.8
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,6,4.0,10.6,6.78
Like Crazy (Deep House Remix),Jimin,9,5.333333333333333,5.25,6.775
double take,Dhruv,6,7.0,7.2,6.66
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,3,8.0,10.0,6.6
You & Me,JENNIE,6,3.3333333333333335,10.4,6.5200000000000005
FIELD TRIP,¥$ & Kanye West & Ty Dolla $ign,1,20.0,,6.4
Cosmic,Red Velvet,1,20.0,,6.4
LOVE DIVE,IVE,3,2.3333333333333335,14.5,6.25
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,2,16.0,2.0,6.199999999999999
Fry’s Dream,AKMU,2,11.0,7.0,6.199999999999999
My Starry Love,Lim Young Woong,3,2.0,14.5,6.15
Cupido,Engel Montaz & Kuv507 & Latinnites Music,1,19.0,,6.1000000000000005
Like Crazy (UK Garage Remix),Jimin,8,3.75,5.142857142857143,5.867857142857143
Young Man,HYUKOH & 落日飛車 Sunset Rollercoaster,1,18.0,,5.8
Dangerously,Charlie Puth,4,5.0,9.0,5.8
Sugarcoat (NATTY Solo),KISS OF LIFE,3,4.666666666666667,10.0,5.6000000000000005
"If I’m S, Can You Be My N?",TWS,1,17.0,,5.5
Snowman,Sia,1,17.0,,5.5
SOS,KANGDANIEL,3,4.0,9.5,5.25
한 페이지가 될 수 있게,DAY6,1,16.0,,5.2
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,1,16.0,,5.2
Rainy Days,V,4,4.5,7.333333333333333,5.15
Armageddon,aespa & Grimes & Flava D,1,15.0,,4.9
