song,artist,reentry_count
CHIHIRO,Billie Eilish,1
Bite Me,ENHYPEN,1
Trust in me,Lim Young Woong,1
WAY 4 LUV,PLAVE,1
Who,Jimin,1
Why?,PLAVE,1
녹아내려요 Melt Down,DAY6,1
"무제(無題) (Untitled, 2014)",G-DRAGON,1
예뻤어,DAY6,1
한 페이지가 될 수 있게,DAY6,1
