song,artist,momentum_score
Click Like (Prod. Crush) (Feat. Paul Blanco),Various Artists,3.0
Super Lady,(G)I-DLE,3.0
Steady,NCT WISH,3.0
Super,SEVENTEEN,3.0
Lovely Touch,Lim Young Woong,3.0
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2.8
HERO,Lim Young Woong,2.75
GODS,League of Legends & NewJeans,2.5
Touch,KATSEYE,2.5
LOVE DIVE,IVE,2.3333333333333335
MANIAC,VIVIZ,2.25
My You,Jung Kook,2.1666666666666665
Talk Saxy,RIIZE,2.1666666666666665
ANTIFRAGILE,LE SSERAFIM,2.0
My Starry Love,Lim Young Woong,2.0
Impossible,RIIZE,2.0
Nice Guy,BOYNEXTDOOR,2.0
Nest,Lim Young Woong,2.0
MAESTRO,SEVENTEEN,2.0
Intro: Singularity,BTS,2.0
Why?,PLAVE,2.0
But Sometimes,BOYNEXTDOOR,2.0
Stay Alive (Prod. SUGA of BTS),Jung Kook,2.0
Take Two,BTS,2.0
Fighting (Feat. Lee Young Ji),BSS,2.0
In Bloom,ZEROBASEONE,2.0
I Don’t Think That I Like Her,Charlie Puth,2.0
Drowning,WOODZ,2.0
Slow Dancing (Piano Ver.),V,2.0
Baddie,IVE,1.6666666666666667
Queencard,(G)I-DLE,1.5
Kitsch,IVE,1.5
Midas Touch,KISS OF LIFE,1.5
Elevator,Lim Young Woong,1.3333333333333333
Love Station,Lim Young Woong,1.3333333333333333
Baggy Jeans,NCT,1.0
SHEESH,BABYMONSTER,1.0
NIGHT DANCER - BIG Naughty Remix,imase & BIG Naughty,1.0
Love Lee,AKMU,1.0
Love Me Like This,NMIXX,1.0
greedy,Tate McRae,1.0
euphoria,Kendrick Lamar,1.0
Fact Check,NCT 127,1.0
Fortnight (feat. Post Malone),Taylor Swift,1.0
Girls Never Die,tripleS,1.0
I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,1.0
Tick-Tack,ILLIT,1.0
Thirsty,aespa,1.0
Cupid,FIFTY FIFTY,1.0
Vancouver,BIG Naughty,1.0
Better Things,aespa,1.0
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,1.0
