song,artist,retention_days
Jealousyvalhalla,YANGHONGWON,
K-POP,Travis Scott & Bad Bunny & The Weeknd,
Last Christmas - Single Version,Wham!,
Like That,Future & Metro Boomin,
Little Light,DOYOUNG,
Lost and Found,KingLee & Lil' Flip,
Love Lee,AKMU,
Love You With All My Heart,Crush,
MAESTRO,SEVENTEEN,
MEOW,MEOVV,
Mars,D.O.,
NIGHT DANCER - BIG Naughty Remix,imase & BIG Naughty,
Nice Guy,BOYNEXTDOOR,
No Tomorrow - Spotify Singles,Various Artists,
Pleasure Shop,KEY,
Rebirth (Intro),Jimin,
Rockstar,LISA,
SHEESH,BABYMONSTER,
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,
Seven (feat. Latto) (Instrumental),Jung Kook & Latto,
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,
Slow Dance (feat. Sofia Carson),Jimin,
Slow Dancing (Piano Ver.),V,
Smeraldo Garden Marching Band (feat. Loco),Jimin,
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,
Snowman,Sia,
Spicy,aespa,
Stay Alive (Prod. SUGA of BTS),Jung Kook,
Steady,NCT WISH,
"Steal The Show - From ""Elemental""",Lauv,
Still With You,Jung Kook,
Super Lady,(G)I-DLE,
Swan Song,LE SSERAFIM,
Take Two,BTS,
That's What I Like,Bruno Mars,
Thirsty,aespa,
Tick-Tack,ILLIT,
Trust in me,Lim Young Woong,
WAY 4 LUV,PLAVE,
Who,Jimin,
Why?,PLAVE,
You & Me (Coachella ver.),JENNIE,
Young Man,HYUKOH & 落日飛車 Sunset Rollercoaster,
bye,Ariana Grande,
euphoria,Kendrick Lamar,
greedy,Tate McRae,
녹아내려요 Melt Down,DAY6,
"무제(無題) (Untitled, 2014)",G-DRAGON,
예뻤어,DAY6,
한 페이지가 될 수 있게,DAY6,
